time,open,high,low,close,vol,%,id,timestamp
0.22,0.23460258,0.19412988,0.19952381,5740.175,-3.06,53,2010-12-05 00:00:00,
0.225,0.225,0.185,0.204,4319.255,2.24,54,2010-12-06 00:00:00,
0.1938,0.24713095,0.1701,0.23706199,24592.915,16.21,55,2010-12-07 00:00:00,
0.24,0.24,0.22,0.2388,3430.41,0.73,56,2010-12-08 00:00:00,
0.226,0.23,0.184176,0.18524613,21336.327,-22.43,57,2010-12-09 00:00:00,
0.20027369,0.20399072,0.18260622,0.20399072,1684.254,10.12,58,2010-12-10 00:00:00,
0.204,0.22788382,0.1907,0.22788382,5788.686,11.71,59,2010-12-11 00:00:00,
0.20800000000000002,0.2279,0.20800000000000002,0.21980833,1963.558,-3.54,60,2010-12-12 00:00:00,
0.21004970000000003,0.2299,0.21004970000000003,0.2299,6415.59,4.59,61,2010-12-13 00:00:00,
0.22890925,0.24669000000000002,0.21093,0.24669000000000002,10388.097,7.3,62,2010-12-14 00:00:00,
0.24553222,0.2459,0.23800267,0.23927862,3684.68,-3.0,63,2010-12-15 00:00:00,
0.23801,0.25175658,0.22221,0.24996,14355.331,4.46,64,2010-12-16 00:00:00,
0.249,0.249,0.24,0.24,525.513,-3.98,65,2010-12-17 00:00:00,
0.2487,0.24881,0.24100000000000002,0.24100000000000002,169.109,0.42,66,2010-12-18 00:00:00,
0.248,0.2499,0.24,0.2401,2000.757,-0.37,67,2010-12-19 00:00:00,
0.2401,0.27086725,0.24007945,0.267,10682.705,11.2,68,2010-12-20 00:00:00,
0.26,0.267,0.24,0.24,9225.789,-10.11,69,2010-12-21 00:00:00,
0.244,0.25,0.244,0.25,3800.458,4.17,70,2010-12-22 00:00:00,
0.24739765,0.25,0.24109194,0.24851705,8650.148000000001,-0.59,71,2010-12-23 00:00:00,
0.25,0.25,0.24231950000000002,0.248,5033.249,-0.21,72,2010-12-24 00:00:00,
0.2475,0.25,0.2475,0.2499,703.0,0.77,73,2010-12-25 00:00:00,
0.2499,0.2642,0.24639,0.2642,16584.97,5.72,74,2010-12-26 00:00:00,
